pattern_id	status	dist_particles	units	mass	threshold	ks	kb	bond0_1	bond0_2	bond0_3	bond0_4	bond0_5	bond0_6	bond0_7	bond0_8	visc	tstep	thermodump	nframes	xmin	xmax	ymin	ymax	visc2	tstep2	thermodump2	nframes2	exp	contract	analyse	Obs.
1024	1	0.25	1	1	0	30	0.1	0.24	0.24	0.24	0.24	0.24	0.24	0	0	0.1	0.005	20000	10	2	127	1	127	0.1	0.005	100000	10	"[[1,2,3,4,5,6]]"	0.25	0	Pattern is too loose initially and x min border yarn want to escape (so x = 2)
1084	1	0.25	1	1	0	30	0.1	0.24	0.24	0.24	0.24	0	0	0	0	0.1	0.005	20000	10	1	127	1	127	0.1	0.005	100000	10	"[[1,2],[1,2,3,4]]"	0.25	1	
1092	1	0.25	1	1	0	30	0.1	0.24	0.24	0.24	0.24	0	0	0	0	0.1	0.005	20000	10	1	127	1	127	0.1	0.005	100000	10	[[1,3],[1,2,3,4]]	0.25	1	
1093	1	0.25	1	1	0	30	0.1	0.24	0.24	0.24	0.24	0	0	0	0	0.1	0.005	20000	10	1	127	1	127	0.1	0.005	100000	10	[[1],[1,2],[3,4],[1,2,3,4]]	0.25	0	
1100	1	0.25	1	1	0	30	0.1	0.24	0.24	0.24	0.24	0	0	0	0	0.1	0.005	20000	10	1	127	1	127	0.1	0.005	100000	10	"[[1],[1,2],[3,4],[1,2,3,4]]"	0.25	0	
2001	1	0.25	1	1	0	30	0.1	0.24	0.24	0.24	0.24	0	0	0	0	0.1	0.005	20000	10	1	127	1	127	0.1	0.005	100000	10	[[1],[1,2,3,4]]	0.25	1	
2002	1	0.25	1	1	0	30	0.1	0.24	0.24	0.24	0.24	0	0	0	0	0.1	0.005	20000	10	2	127	1	127	0.1	0.005	100000	10	"[[1],[1,2,3,4]]"	0.25	1	Pattern is too loose initially and x min border yarn want to escape (so x = 2)
2003	1	0.25	1	1	0	30	0.1	0.24	0.24	0.24	0.24	0	0	0	0	0.1	0.005	20000	10	1	127	1	127	0.1	0.005	100000	10	[[1],[1,2,3,4]]	0.25	0	
2009	1	0.25	1	1	0	30	0.1	0.24	0.24	0.24	0.24	0.24	0.24	0.24	0.24	0.1	0.005	20000	10	1	127	1	127	0.1	0.005	100000	10	[[1,2,3,4],[1,2,3,4,5,6,7,8]]	0.25	1	
2023	1	0.25	1	1	0	30	0.1	0.24	0.24	0.24	0.24	0.24	0	0	0	0.1	0.005	20000	10	1	127	1	127	0.1	0.005	100000	10	[[1],[1,2],[1,2,3],[1,2,3,4,5]]	0.25	1	
2019	1	0.25	1	1	0	30	0.1	0.24	0.24	0.24	0.24	0.24	0	0	0	0.1	0.005	20000	10	1	127	1	127	0.1	0.005	100000	10	"[[3],[4],[5],[4,5],[1,2,3,4,5]]"	0.25	0	
2020	1	0.25	1	1	0	30	0.1	0.24	0.24	0.24	0.24	0.24	0.24	0	0	0.1	0.005	20000	10	1	127	1	127	0.1	0.005	100000	10	"[[1],[5],[5,6],[1,2,3,4],[1,2,3,4,5,6]]"	0.25	0	
2048	1	0.25	1	1	0	30	0.1	0.24	0.24	0.24	0.24	0.24	0.24	0	0	0.1	0.005	20000	10	1	127	1	127	0.1	0.005	100000	10	"[[1],[5],[5,6],[1,2,3,4],[1,2,3,4,5,6]]"	0.25	1	
3001	1	0.25	1	1	0	30	0.1	0.24	0.24	0.24	0.24	0.24	0.24	0.24	0.24	0.1	0.005	20000	10	1	127	1	127	0.1	0.005	100000	10	[[3,6],[7,8],[2,3,4],[1,2,4,5],[1,4,7,8],[1,5,6],[1,3,5,7],[1,2,3,4,5,6,7,8]]	0.25	1	
3003	1	0.25	1	1	0	30	0.1	0.24	0.24	0.24	0.24	0.24	0.24	0.24	0.24	0.1	0.005	20000	10	1	127	1	127	0.1	0.005	100000	10	[[1,7],[1,2,3,4],[1,3,5,7],[1,3,6,8],[1,2,5,6],[1,2,7,8],[1,2,3,4,5,6,7,8]]	0.25	1	
3013	1	0.25	1	1	0	30	0.1	0.24	0.24	0.24	0.24	0.24	0.24	0.24	0.24	0.1	0.005	20000	10	1	127	1	127	0.1	0.005	100000	10	[[1,2],[1,3],[1,2,3,4],[5,6,7,8],[1,2,5,6],[1,2,7,8],[1,2,3,4,5,6,7,8]]	0.25	1	
3018	1	0.25	1	1	0	30	0.1	0.24	0.24	0.24	0.24	0.24	0.24	0.24	0.24	0.1	0.005	20000	10	1	127	1	127	0.1	0.005	100000	10	[[1,4],[1,2,3,4],[1,3,5,7],[1,2,3,4,5,6,7,8]]	0.25	1	
3021	1	0.25	1	1	0	30	0.1	0.24	0.24	0.24	0.24	0.24	0.24	0.24	0.24	0.1	0.005	20000	10	1	127	1	127	0.1	0.005	100000	10	[[1,4],[1,7],[1,2,3,4],[1,4,6,7],[1,2,5,6],[1,2,3,4,5,6,7,8]]	0.25	1	
3023	1	0.25	1	1	0	30	0.1	0.24	0.24	0.24	0.24	0.24	0.24	0.24	0.24	0.1	0.005	20000	10	1	127	1	127	0.1	0.005	100000	10	"[[1],[1,2],[1,3],[1,4],[1,5],[1,6],[1,2,3,4],[1,2,5,6],[1,4,6,7],[1,3,5,7],[1,3,6,8],[1,2,3,4,5,6,7,8]]"	0.25	0	
3023v2	1	0.25	1	1	0	30	0.1	0.245	0.245	0.245	0.245	0.245	0.245	0.245	0.245	0.1	0.005	20000	10	1	127	1	127	0.1	0.005	100000	10	"[[1],[1,2],[1,3],[1,4],[1,5],[1,6],[1,2,3,4],[1,2,5,6],[1,4,6,7],[1,3,5,7],[1,3,6,8],[1,2,3,4,5,6,7,8]]"	0.25	1	Shrinking stabilization is 0.245 and not 0.24
3024	1	0.25	1	1	0	30	0.1	0.24	0.24	0.24	0.24	0.24	0.24	0.24	0.24	0.1	0.005	20000	10	1	127	1	127	0.1	0.005	100000	10	"[[1],[1,4],[1,2,3,4],[1,3,6,8],[1,2,7,8],[1,4,6,7],[1,2,3,4,5,6,7,8]]"	0.25	1	
3025	1	0.25	1	1	0	30	0.1	0.24	0.24	0.24	0.24	0.24	0.24	0.24	0.24	0.1	0.005	20000	10	1	127	1	127	0.1	0.005	100000	10	"[[1,2,3,4],[1,2,3,4,5,6,7,8]]"	0.25	1	
3026	1	0.25	1	1	0	30	0.1	0.24	0.24	0.24	0.24	0.24	0.24	0.24	0.24	0.1	0.005	20000	10	1	127	1	127	0.1	0.005	100000	10	[[1,7],[1,2,3,4],[1,3,5,7],[1,2,3,4,5,6,7,8]]	0.25	1	
3034	1	0.25	1	1	0	30	0.1	0.24	0.24	0.24	0.24	0.24	0.24	0.24	0.24	0.1	0.005	20000	10	1	127	1	127	0.1	0.005	100000	10	[[1,3],[1,2,3,4],[5,6,7,8],[1,2,3,4,5,6,7,8]]	0.25	1	
3043	1	0.25	1	1	0	30	0.1	0.24	0.24	0.24	0.24	0.24	0.24	0.24	0.24	0.1	0.005	20000	10	1	127	1	127	0.1	0.005	100000	10	[[1,3],[1,2,3,4],[5,6,7,8],[1,2,3,4,5,6,7,8]]	0.25	1	
3051_1t	1	0.25	1	1	0	30	0.1	0.24	0.24	0.24	0.24	0.24	0.24	0.24	0.24	0.1	0.005	20000	10	1	127	1	127	0.1	0.005	100000	10	"[[1],[3],[1,2],[1,2,3,4,5,6,7,8]]"	0.25	1	
3051v2	1	0.25	1	1	0	30	0.1	0.24	0.24	0.24	0.24	0.24	0.24	0.24	0.24	0.1	0.005	20000	10	1	127	1	127	0.1	0.005	100000	10	[[1,2],[1,2,3,4,5,6,7,8]]	0.25	1	
3052	1	0.25	1	1	0	30	0.1	0.24	0.24	0.24	0.24	0.24	0.24	0.24	0.24	0.1	0.005	20000	10	1	127	1	127	0.1	0.005	100000	10	[[1,2],[2,4],[1,2,3,4],[1,2,3,4,5,6,7,8]]	0.25	1	
3059	1	0.25	1	1	0	30	0.1	0.24	0.24	0.24	0.24	0.24	0.24	0.24	0.24	0.1	0.005	20000	10	1	127	1	127	0.1	0.005	100000	10	[[1],[8],[6,8],[1,2],[1,2,3,4],[5,6,7,8],[1,2,3,4,5,6,7,8]]	0.25	1	
7000	1	0.25	1	1	0	30	0.1	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.1	0.005	20000	10	1	127	1	127	0.1	0.005	100000	10	[[1, 3, 5, 7]]	0.25	1	No shrinking in stabilization
7001	1	0.25	1	1	0	30	0.1	0.24	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.005	20000	10	1	127	1	127	0.1	0.005	100000	10	[[2, 4, 5, 7]]	0.25	1	No shrinking in stabilization
7002	1	0.25	1	1	0	30	0.1	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.1	0.005	20000	10	1	127	1	127	0.1	0.005	100000	10	[[2, 4, 5, 7]]	0.25	1	No shrinking in stabilization
Star	1	0.25	1	1	0	30	0.1	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.1	0.005	20000	10	1	127	1	127	0.1	0.005	100000	10	"[[1,2,3,4],[1,3,5,7],[1,4,6,7],[1,2,5,6],[1,2,3,4,5,6,7,8]]"	0.25	0	No shrinking in stabilization
